#Annotated with Bakta (v1.0.3): https://github.com/oschwengers/bakta
#Database (v2.0): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	732	995	-	CPFALG_00005		hypothetical protein	
contig_1	cds	1001	1717	-	CPFALG_00010	tnp-IS6	IS6-like element IS26 family transposase	COG:COG3316, COG:X, RefSeq:WP_001317540.1, SO:0001217, UniParc:UPI00001B29E2, UniRef100:UniRef100_A0A6H1PZP7, UniRef50:UniRef50_A0A345N8K8, UniRef90:UniRef90_A0A221ZR11
contig_1	cds	1819	2322	-	CPFALG_00015		hypothetical protein	SO:0001217, UniParc:UPI000210AEB9, UniRef100:UniRef100_F6IBB7, UniRef50:UniRef50_F6IBB7, UniRef90:UniRef90_F6IBB7
contig_1	cds	2527	3195	-	CPFALG_00020		TetA resistance protein	COG:COG1309, COG:K, RefSeq:WP_031942322.1, SO:0001217, UniParc:UPI0004E05D41, UniRef100:UniRef100_A0A2P4S2Q8, UniRef50:UniRef50_P03038, UniRef90:UniRef90_D3INX2
contig_1	cds	3296	4495	+	CPFALG_00025	tet(A)	tetracycline efflux MFS transporter Tet(A)	COG:COG2814, COG:G, GO:0005886, GO:0006811, GO:0015297, GO:0016021, GO:0042910, GO:0046677, RefSeq:WP_031942321.1, SO:0001217, UniParc:UPI000158AAE9, UniRef100:UniRef100_A0A2P9EBP7, UniRef50:UniRef50_P02982, UniRef90:UniRef90_P02982
contig_1	cds	4520	4639	+	CPFALG_00030		hypothetical protein	
contig_1	cds	5004	5246	-	CPFALG_00035		hypothetical protein	SO:0001217, UniParc:UPI00058BF636, UniRef100:UniRef100_A0A366EMY7, UniRef50:UniRef50_A0A366EMY7, UniRef90:UniRef90_A0A366EMY7
contig_1	cds	5538	6254	+	CPFALG_00040	tnp-IS6	IS6-like element IS26 family transposase	COG:COG3316, COG:X, SO:0001217, UniRef50:UniRef50_A0A345N8K8, UniRef90:UniRef90_A0A221ZR11
contig_1	cds	6358	6780	+	CPFALG_00045		Restriction endonuclease	COG:COG1715, COG:V, SO:0001217, UniRef50:UniRef50_G5QCR6, UniRef90:UniRef90_A0A346FVS3
contig_1	cds	7610	7891	-	CPFALG_00050		hypothetical protein	
