#Annotated with Bakta (v1.0.3): https://github.com/oschwengers/bakta
#Database (v2.0): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	194	397	-	LIAJBM_00005		hypothetical protein	RefSeq:WP_008930569.1, SO:0001217, UniParc:UPI00029B23E6, UniRef100:UniRef100_A0A2K9UZS0, UniRef50:UniRef50_W1MTQ0, UniRef90:UniRef90_W1MTQ0
contig_1	cds	524	3160	+	LIAJBM_00010		Mobile element protein	SO:0001217, UniParc:UPI0002C18101, UniRef100:UniRef100_A0A2S1XY91, UniRef50:UniRef50_T2FKX8, UniRef90:UniRef90_T2FKX8
contig_1	cds	3581	3697	-	LIAJBM_00015		hypothetical protein	
contig_1	cds	3732	4376	+	LIAJBM_00020	qnrB1	quinolone resistance pentapeptide repeat protein QnrB1	COG:COG1357, COG:S, RefSeq:WP_014386481.1, SO:0001217, UniParc:UPI00025283F3, UniRef100:UniRef100_A0A5S9ED61, UniRef50:UniRef50_Q2PT27, UniRef90:UniRef90_A0A0H4IRC3
contig_1	cds	4468	5136	-	LIAJBM_00025		Short chain dehydrogenase	COG:COG1028, COG:I, SO:0001217, UniParc:UPI00044F6EFB, UniRef100:UniRef100_A0A366EM97, UniRef50:UniRef50_A0A251XNR0, UniRef90:UniRef90_A0A336QQR3
contig_1	cds	5176	5898	-	LIAJBM_00030	tnp-IS6	IS6-like element IS26 family transposase	COG:COG3316, COG:X, RefSeq:WP_001313567.1, SO:0001217, UniParc:UPI000049F13E, UniRef100:UniRef100_A0A6D1P4S9, UniRef50:UniRef50_C7EZD9, UniRef90:UniRef90_C7EZD9
contig_1	cds	5917	6033	-	LIAJBM_00035		Resolvase/invertase-type recombinase catalytic domain-containing protein	SO:0001217, UniParc:UPI0003BB4416, UniRef100:UniRef100_A0A2R4PEB7, UniRef50:UniRef50_A0A2R4PEB7, UniRef90:UniRef90_A0A2R4PEB7
contig_1	cds	6426	7361	-	LIAJBM_00040	intI1	class 1 integron integrase IntI1	COG:COG4974, COG:L, SO:0001217, UniParc:UPI00061CCD27, UniRef100:UniRef100_A0A3G4RR87, UniRef50:UniRef50_P62590, UniRef90:UniRef90_B7JCH8
contig_1	ncRNA-region	7529	7601	+			putative aminoglycoside riboswitch / attI site	RFAM:RF02912, SO:0000035
contig_1	sorf	7541	7579	+	LIAJBM_00045	estX	Streptothricin acetyltransferase	SO:0001217, UniParc:UPI00000B6A7E, UniRef100:UniRef100_A9QNW9, UniRef50:UniRef50_A0A2R4A7Q1, UniRef90:UniRef90_B2G4W1
contig_1	cds	7595	8068	+	LIAJBM_00050	dfrA14	trimethoprim-resistant dihydrofolate reductase DfrA14	COG:COG0262, COG:H, RefSeq:WP_004201280.1, SO:0001217, UniParc:UPI00005051FA, UniRef100:UniRef100_F8T8W2, UniRef50:UniRef50_P00382, UniRef90:UniRef90_F8T8W2
contig_1	cds	8280	8555	+	LIAJBM_00055		MobC domain-containing protein	SO:0001217, UniParc:UPI0005833FAD, UniRef100:UniRef100_A0A679FEV3, UniRef50:UniRef50_A0A679FEV3, UniRef90:UniRef90_A0A679FEV3
contig_1	cds	8662	9462	+	LIAJBM_00060	tnp-IS6100	IS6-like element IS6100 family transposase	SO:0001217, UniParc:UPI0000697684, UniRef100:UniRef100_C7S9U1, UniRef50:UniRef50_E2CSF8, UniRef90:UniRef90_Q6QWQ8
contig_1	cds	9594	9719	+	LIAJBM_00065		hypothetical protein	SO:0001217, UniRef50:UniRef50_A0A068F2N7, UniRef90:UniRef90_A0A068F2N7
contig_1	cds	10598	10759	-	LIAJBM_00070		hypothetical protein	
contig_1	cds	11517	11657	-	LIAJBM_00075		hypothetical protein	
contig_1	cds	11864	12160	-	LIAJBM_00080		hypothetical protein	
