#Annotated with Bakta v1.0.3, https://github.com/oschwengers/bakta
#Database v2.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	194	397	-	LIAJBM_00005	74.9	5.7		RefSeq:WP_008930569.1, SO:0001217, UniParc:UPI00029B23E6, UniRef100:UniRef100_A0A2K9UZS0, UniRef50:UniRef50_W1MTQ0, UniRef90:UniRef90_W1MTQ0
contig_1	3581	3697	-	LIAJBM_00015	44.8	7.8		
contig_1	9594	9719	+	LIAJBM_00065	48.0	9.7		SO:0001217, UniRef50:UniRef50_A0A068F2N7, UniRef90:UniRef90_A0A068F2N7
contig_1	10598	10759	-	LIAJBM_00070	60.1	6.7		
contig_1	11517	11657	-	LIAJBM_00075	50.9	4.2		
contig_1	11864	12160	-	LIAJBM_00080	110.5	10.0	PF00145.19|DNA_methylase	
contig_1	13308	13523	-	LIAJBM_00095	80.0	9.7		
contig_1	14540	14779	+	LIAJBM_00105	94.9	6.2		SO:0001217, UniRef50:UniRef50_A0A366EMY7, UniRef90:UniRef90_A0A366EMY7
contig_1	14856	15023	+	LIAJBM_00110	64.1	6.0		SO:0001217, UniParc:UPI000654E1C3, UniRef100:UniRef100_A0A0G3AZ83, UniRef50:UniRef50_A0A0G3AZ83, UniRef90:UniRef90_A0A0G3AZ83
contig_1	15144	15263	-	LIAJBM_00115	44.1	11.6		
contig_1	17452	17964	+	LIAJBM_00130	188.2	8.8		SO:0001217, UniParc:UPI000793608D, UniRef100:UniRef100_A0A6S5K651, UniRef50:UniRef50_F6IBB7, UniRef90:UniRef90_F6IBB7
contig_1	21702	21896	-	LIAJBM_00150	72.2	10.4		SO:0001217, UniRef50:UniRef50_A0A377LQ94, UniRef90:UniRef90_A0A3S8XAJ4
contig_1	22639	23019	+	LIAJBM_00155	141.8	8.5		RefSeq:WP_001371925.1, SO:0001217, UniParc:UPI000021C361, UniRef100:UniRef100_A0A3S7L7A6, UniRef50:UniRef50_A0A3S7L7A6, UniRef90:UniRef90_A0A3S7L7A6
contig_1	23077	23688	+	LIAJBM_00160	226.5	7.1		SO:0001217, UniRef50:UniRef50_A0A2X5V4G8, UniRef90:UniRef90_A0A2X5V4G8
contig_1	24482	24751	+	LIAJBM_00170	101.7	10.2		
contig_1	25009	25263	+	LIAJBM_00175	90.6	4.5		
contig_1	25563	25856	+	LIAJBM_00180	116.2	9.9		
contig_1	26210	26443	-	LIAJBM_00185	87.7	6.5	PF01526.19|DDE_Tnp_Tn3	
contig_1	26507	27070	-	LIAJBM_00190	212.4	9.5	PF01526.19|DDE_Tnp_Tn3	
contig_1	27057	27272	-	LIAJBM_00195	78.2	5.0	PF01526.19|DDE_Tnp_Tn3	
contig_1	27546	27704	+	LIAJBM_00200	60.3	4.1		
contig_1	27922	28200	-	LIAJBM_00205	107.5	9.2		
contig_1	28996	29214	+	LIAJBM_00215	80.0	8.8		
contig_1	29201	29455	+	LIAJBM_00220	100.3	10.2		
contig_1	29674	29841	+	LIAJBM_00225	63.0	11.8		
contig_1	30086	30307	+	LIAJBM_00235	88.7	10.4	PF13610.8|DDE_Tnp_IS240	
contig_1	39410	39709	-	LIAJBM_00295	111.6	11.0		SO:0001217, UniRef50:UniRef50_A0A0K2YQR7, UniRef90:UniRef90_A0A0K2YQR7
contig_1	44932	45087	+	LIAJBM_00325	59.0	11.6		SO:0001217, UniRef50:UniRef50_A0A1Z3MLK1, UniRef90:UniRef90_A0A1Z3MLK1
contig_1	45545	45928	-	LIAJBM_00335	145.1	9.6		
contig_1	45938	46399	-	LIAJBM_00340	172.9	10.1		SO:0001217, UniRef50:UniRef50_A0A486KSZ2, UniRef90:UniRef90_A0A486KSZ2
