#Annotated with Bakta v1.0.3, https://github.com/oschwengers/bakta
#Database v2.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	732	995	-	AMOGMI_00005	92.5	10.1		
contig_1	1819	2049	-	AMOGMI_00015	88.4	9.7		
contig_1	5004	5243	-	AMOGMI_00030	94.9	6.2		SO:0001217, UniRef50:UniRef50_A0A366EMY7, UniRef90:UniRef90_A0A366EMY7
contig_1	6358	6699	+	AMOGMI_00040	127.5	10.4		
contig_1	7912	8094	-	AMOGMI_00050	70.4	9.8		
contig_1	9120	10052	-	AMOGMI_00055	349.8	6.2	PF09019.13|EcoRII-C, PF09217.12|EcoRII-N	SO:0001217, UniRef50:UniRef50_A0A6C7H3E7, UniRef90:UniRef90_A0A6C7H3E7
contig_1	10059	10181	-	AMOGMI_00060	46.9	9.4		SO:0001217, UniParc:UPI0003DBF152, UniRef100:UniRef100_A0A068F2N7, UniRef50:UniRef50_A0A068F2N7, UniRef90:UniRef90_A0A068F2N7
contig_1	14663	14842	-	AMOGMI_00095	69.9	5.5		
contig_1	16529	16702	+	AMOGMI_00105	67.5	10.4		
contig_1	20260	20499	+	AMOGMI_00115	86.5	10.0		SO:0001217, UniParc:UPI0003FD25A5, UniRef100:UniRef100_A0A366EM98, UniRef50:UniRef50_A0A366EM98, UniRef90:UniRef90_A0A366EM98
